"","X","logFC","logCPM","PValue","FDR"
"220","ENSG00000101441",6.31645705808351,-0.824951845873098,2.2892398867811e-34,2.99890425168324e-32
"223","ENSG00000232679",6.01406023931361,-0.0862740628857465,3.1618998320799e-34,4.0863656125804e-32
"228","ENSG00000287861",7.03078114192383,-1.52306621187696,5.64260157440759e-34,7.13244637607135e-32
"236","ENSG00000233533",6.78857173033651,-1.50963352747671,3.51113093184667e-33,4.28774548541614e-31
"244","ENSG00000198681",6.22918679085868,-1.04582686366828,8.7311012889327e-33,1.03127188175017e-30
"247","ENSG00000203740",6.73310371019489,-1.57954204029587,1.36079332887791e-32,1.58777585984864e-30
"250","ENSG00000250418",7.23915916073213,-1.9265655195754,2.28714534179411e-32,2.63662115002025e-30
"251","ENSG00000182896",6.10205556962618,-0.881640691107699,2.35063961952115e-32,2.69902126831074e-30
"256","ENSG00000254764",6.99720340062315,-1.82989960014025,3.5147811433102e-32,3.95687470899219e-30
"257","ENSG00000285717",6.1596975134035,-1.11362479219194,3.77883860365622e-32,4.23759255087052e-30
"259","ENSG00000150361",6.21059262826268,-1.18963909437578,4.12900615480607e-32,4.59451572901587e-30
"260","ENSG00000189186",7.51969492700571,-2.10713349166423,4.26791708276364e-32,4.73082193558646e-30
"273","ENSG00000196593",6.46675422542305,-1.62606980414044,3.05587907534357e-31,3.2260232582931e-29
"283","ENSG00000158764",6.38776452325204,-1.89199116522997,1.93995308408475e-30,1.97559886513507e-28
"288","ENSG00000250102",6.98395011964869,-2.14720412138486,2.67390439732218e-30,2.67576127537587e-28
"290","ENSG00000163530",6.74508108301442,-2.01968669604159,2.80229191297295e-30,2.7848983769614e-28
"295","ENSG00000249332",6.15848911857095,-1.60560622101791,4.95947664948113e-30,4.84515650976428e-28
"297","ENSG00000277268",6.37035633634208,-1.68211318081092,5.62046847532332e-30,5.45393607605448e-28
"303","ENSG00000168135",6.22378774951749,-1.64930080090573,1.4671953731827e-29,1.3955303846576e-27
"306","ENSG00000283117",6.87713906083529,-2.2289825577407,2.20143584916063e-29,2.07337846969965e-27
"317","ENSG00000228496",6.43165109026112,-2.05914662439755,7.10914579439306e-29,6.46326756449236e-27
"343","ENSG00000264734",6.68175631482651,-2.38336056233845,7.040135940475e-28,5.91535620421253e-26
"356","ENSG00000258472",6.51481485020861,-2.22694085708075,2.30191144077586e-27,1.86351370008877e-25
"370","ENSG00000253821",6.58958297056055,-2.4832606753559,5.97362593845994e-27,4.65056035963635e-25
"387","ENSG00000250874",6.81908962268669,-2.67510075121893,1.89813879595989e-26,1.41354935657788e-24
"395","ENSG00000266736",6.47980557439888,-2.55907254224707,3.84140884182026e-26,2.80276969167747e-24
"406","ENSG00000257904",6.07394725944889,-2.36343998838901,5.93217212471493e-26,4.21096553286414e-24
"454","ENSG00000251655",6.28974285972987,-2.695992912321,1.05758622878174e-24,6.71357601618716e-23
