"","X","logFC","logCPM","PValue","FDR"
"50","ENSG00000184544",-9.78373736334517,0.833082214427358,5.37836230906671e-57,3.10008803494605e-54
"51","ENSG00000111046",-8.48183666798669,2.35371066985383,7.81586243948593e-57,4.41672853933303e-54
"52","ENSG00000183091",-7.95179360751467,8.56756555325835,3.34183859292061e-56,1.85214977399946e-53
"54","ENSG00000180209",-7.92924895357943,6.04929717423461,8.87809076876274e-56,4.73826992510634e-53
"56","ENSG00000165192",-8.49651288935636,1.56694833885762,2.00101582167714e-54,1.02980849965598e-51
"58","ENSG00000170162",-8.96478005091529,0.940164559399928,1.15291096331596e-53,5.72877482116657e-51
"59","ENSG00000173991",-7.69891761533475,6.21899391492302,1.17601809338805e-53,5.74454939854974e-51
"60","ENSG00000156885",-8.0573772528814,2.49679304582009,1.44581073307117e-53,6.94471088785184e-51
"62","ENSG00000091482",-7.66919696845525,3.00277207389547,6.92033279935607e-52,3.216838568991e-49
"63","ENSG00000175084",-7.42872833038893,7.68255345427772,1.76900523240411e-51,8.09249695204545e-49
"65","ENSG00000182676",-7.67506958368567,2.86208380789376,3.86412289391053e-51,1.71329264311541e-48
"66","ENSG00000159173",-7.37658518552727,6.95144308107633,5.39699711876572e-51,2.35668874186103e-48
"67","ENSG00000130598",-7.34483240732627,6.13519193802029,1.07937231466577e-50,4.64291195651751e-48
"68","ENSG00000077522",-7.28047812745559,7.67773769515967,3.77148203888378e-50,1.5984428288328e-47
"69","ENSG00000122367",-7.27198425423539,6.63948567325793,4.64904998765333e-50,1.94182058904593e-47
"71","ENSG00000077009",-7.98354536690762,1.17212443126099,6.23216400638344e-50,2.52973192484466e-47
"72","ENSG00000172399",-7.45933714882079,2.61933980297338,8.97964416144133e-50,3.59435201017693e-47
"74","ENSG00000010282",-7.67878997704153,1.84023444546206,1.19490586721666e-49,4.65367393151138e-47
"77","ENSG00000196091",-7.20557003798758,8.79622670375678,1.84955827679819e-49,6.92263240744464e-47
"78","ENSG00000141161",-7.34747055970578,3.16479306914119,1.98050040119389e-49,7.31769507210357e-47
"79","ENSG00000185149",-7.21758819268374,3.23279214670612,1.68381608588731e-48,6.14273159433828e-46
"80","ENSG00000214097",-7.44418836097175,1.7315822542773,1.08558724941073e-47,3.91082806600216e-45
"81","ENSG00000084674",-7.09239598142755,2.98818167591065,1.91029909760441e-47,6.79689135715545e-45
